location,counts,clean_location,in_india
", india",1,"n/a",1
"airoli, mumbai",1,mumbai,1
alabama,1,"n/a",
alphagretta ga,1,"n/a",
amsterdam,2,"n/a",
"amsterdam, netherlands",1,"n/a",
"amsterdam, nl",1,"n/a",
"andheri east, mumbai india",2,mumbai,1
"andheri, mumbai",1,mumbai,1
any,11,"n/a",
anywhere,1,"n/a",
arizona,1,"n/a",
arlington hq2,1,"n/a",
"arlington, va",1,"n/a",
"arlington, virginia",1,"n/a",
atlanta,3,"n/a",
"atlanta, ga",5,"n/a",
"atlanta, georgia",2,"n/a",
"atlanta, georgia, usa",1,"n/a",
austin,2,"n/a",
"austin, texas",5,"n/a",
"austin, tx",12,"n/a",
"austin,tx",1,"n/a",
banaglore,2,bangalore,1
bangale,1,bangalore,1
bangalore,661,bangalore,1
"bangalore , india",1,bangalore,1
"bangalore ,india",1,bangalore,1
bangalore india,6,bangalore,1
bangalore or mumbai,1,bangalore,1
"bangalore, in",7,bangalore,1
"bangalore, ind",1,bangalore,1
"bangalore, india",185,bangalore,1
"bangalore, karnataka",1,bangalore,1
"bangalore, karnataka, india",1,bangalore,1
"bangalore, remote",2,bangalore,1
"bangalore,india",18,bangalore,1
"bangalore,mumbai or pune",1,bangalore,1
bangaluru,2,bangalore,1
bangelore,1,bangalore,1
bangkok,1,"n/a",
banglore,43,bangalore,1
"banglore , india",1,bangalore,1
banglore india,2,bangalore,1
"banglore, india",9,bangalore,1
"bangolore, india",1,bangalore,1
barcelona,1,"n/a",
"barcelona, spain",2,"n/a",
bay area,15,"n/a",
"bay area , usa and tamil nadu, chennai",1,"n/a",
"bay area, ca",11,"n/a",
"bay area, california",1,"n/a",
beijing,1,"n/a",
"beijing, china",2,"n/a",
"belarus, minsk",1,"n/a",
bellevue,2,"n/a",
"bellevue, wa",9,"n/a",
"bellvue, wa",1,"n/a",
bengalore,3,bangalore,1
bengaluru,88,bangalore,1
bengaluru india,6,bangalore,1
"bengaluru, india",34,bangalore,1
"bengaluru, karnataka",1,bangalore,1
"bengaluru, karnataka, india",1,bangalore,1
"bengaluru,india",3,bangalore,1
bengauru ka india,2,bangalore,1
"bentonville, ar",1,"n/a",
"bentonville, arkansas, us",3,"n/a",
"bentonville,arkansas",1,"n/a",
berlin,2,"n/a",
"berlin, germant",1,"n/a",
"berlin, germany",1,"n/a",
bhopal,1,bhopal,1
"bhopal,mp",1,bhopal,1
boston,13,"n/a",
"boston, ma",16,"n/a",
"boulder, co",1,"n/a",
brighton,1,"n/a",
"brooklyn, ny",1,"n/a",
"budapest, hu",1,"n/a",
"buffalo, ny",1,"n/a",
"burlington, ma",1,"n/a",
cambridge,1,"n/a",
"cambridge, england",1,"n/a",
"cambridge, ma",1,"n/a",
"cambridge, uk",1,"n/a",
canada,3,"n/a",
"carlsbad, ca",1,"n/a",
"charlotte, north carolina",1,"n/a",
chennai,29,chennai,1
"chennai , india",2,chennai,1
"chennai, india",7,chennai,1
"chennai, tamil nadu, india",2,chennai,1
"chennai, tn",2,chennai,1
"chennai,india",2,chennai,1
"chesterbrook, pa",1,"n/a",
"chevy chase, md",1,"n/a",
chicago,4,"n/a",
"chicago, il",4,"n/a",
china,1,"n/a",
"choice of kansas city, mo and columbia, mo",1,"n/a",
coimbatore,2,coimbatore,1
"coimbatore, bangalore",1,coimbatore,1
"coimbatore, india",1,coimbatore,1
"columbia, missouri",1,"n/a",
"columbus, oh",2,"n/a",
"completely remote, india",2,"n/a",1
cupertino,4,"n/a",
cupertino california,1,"n/a",
"cupertino, ca",6,"n/a",
"cupertino, ca, usa",1,"n/a",
dallas,5,"n/a",
dallas tx,1,"n/a",
"dallas, tx",4,"n/a",
"dallas, tx till covid, then seattle",1,"n/a",
"dearborn, mi",1,"n/a",
delhi,16,delhi,1
delhi ncr,1,delhi,1
"delhi, india",1,delhi,1
denver,2,"n/a",
"denver , co",1,"n/a",
"detroit, mi",2,"n/a",
"detroit, us",1,"n/a",
dublin,1,"n/a",
dublin ireland,1,"n/a",
"dublin, ca, united states",1,"n/a",
"dublin, ireland",8,"n/a",
"durham, north carolina",1,"n/a",
"edinburgh, scotland",1,"n/a",
emea,1,"n/a",
"fairfax, va",1,"n/a",
