title,count,clean_title
sde1,300,sde 1
sde2,291,sde 2
softwareengineer,284,sde 1
seniorsoftwareengineer,111,sde 2
sdeintern,76,sde intern
softwaredeveloper,76,sde 1
softwaredevi,60,sde 1
sde,59,sde 1
analyst,51,analyst
sdeii,46,sde 2
intern,43,sde intern
softwareengineer2,43,sde 2
softwaredevelopmentengineer,41,sde 1
softwareengineerintern,39,sde intern
softwaredevelopmentengineer1,36,sde 1
softwareengineeringintern,35,sde intern
sdei,35,sde 1
sde3,33,sde 3
softwareengineerii,32,sde 2
associatesoftwareengineer,31,sde 1
softwareengineer1,28,sde 1
softwareengineeri,27,sde 1
associate,24,sde 1
softwaredevelopmentengineeri,23,sde 1
sweintern,22,sde intern
mts3,21,mts 3
memberoftechnicalstaff,20,mts 1
l4,20,l4
sse,20,sde 2
softwaredevii,19,sde 2
smts,17,mts 2
softwaredevelopmentengineer2,17,sde 2
engineer,16,sde 1
softwaredeveloperintern,15,sde intern
systemengineer,15,systems engineer
mts2,14,mts 2
softwaredev2,14,sde 2
l3,14,l3
sde1l4,14,sde 1
ic2,13,ic2
se2,13,sde 2
projectengineer,13,project engineer
softwareengineeriii,12,sde 3
mts,12,mts 1
softwaredevelopmentengineerintern,12,sde intern
datascientist,12,data scientist
e4,11,e4
softwaredevelopmentengineerii,11,sde 2
seniorengineer,10,sde 2
se,10,sde 1
seniormemberoftechnicalstaff,10,mts 2
softwaredeveloper2,9,sde 2
technologyanalyst,9,techonology analyst
softwaredevelopmentintern,9,sde intern
productengineer,9,product engineer
l62,9,l62
systemsoftwareengineer,8,systems engineer
l60,8,l60
l5,8,l5
applicationdeveloper,8,application developer
softwaredevengineeri,8,sde 1
l61,8,l61
softwaredeveloperengineeri,8,sde 1
sdeiii,8,sde 3
dataengineer,8,data engineer 1
softwaredevintern,7,sde intern
technicalanalyst,7,technical analyst
manager,7,manager
seniorsoftwaredeveloper,7,sde 2
softwaredev,7,sde 1
backendengineer,7,sde 1
deanofcodingacademicslife,7,dean
softwareengineerbackend,6,sde 1
se3,6,sde 3
consultant,6,consultant
systemsengineer,6,systems engineer
softwareengineer3,6,sde 3
softwaredevelopmentengineeringintern,6,sde intern
mts1,6,mts 1
swe,6,sde 1
ic3,6,ic3
seniordataengineer,6,data engineer 2
mtsintern,6,mts intern
summeranalyst,5,summer analyst
technologysummeranalyst,5,technology summer analyst
e5,5,e5
sde1newgrad,5,sde 1
technologyintern,5,technology intern
staffsoftwareengineer,5,staff sde
newgradsoftwareengineer,5,sde 1
seniorsoftwareengineer1,5,sde 2
sde2backend,5,sde 2
summerintern,5,summer intern
associatedeveloper,5,sde 1
associatesoftwaredeveloper,5,sde 1
leadengineer,5,sde 3
sweii,5,sde 2
leadsoftwareengineer,5,sde 3
l63,5,l63
applicationsengineer,5,applications engineer
datascienceintern,5,data scientist intern
softwaredevelopmentengineerintest,5,sdet
mts4,5,mts 4
powerprogrammer,5,power programmer
p4,5,p4
studenttrainee,4,student trainee
associatesoftwaredevelopmentengineer,4,sde 1
softwareengineerl3,4,l3
fullstackdeveloper,4,full stack developer
softwareintern,4,sde intern
juniorsoftwareengineer,4,sde 1
vp,4,vp
seniorsde,4,sde 2
sde2l5,4,l5
sdetii,4,sdet 2
sde1level60,4,l60
seniormts,4,mts 2
applicationengineer,4,applications engineer
developerassociate,4,developer associate
