post_id,href,post_title,date,post,raw_company,raw_title,raw_yoe,raw_salary,raw_salary_total,raw_location,company,title,location,yoe,salary,salary_total
1089354,https://leetcode.com/discuss/compensation/1089354/Phonepe-or-SDE-or-Bangalore,Phonepe | SDE | Bangalore,2021/03/02,"Education: B.Tech in ECE
Years of Experience: 0
Prior Experience: Software Engineer intern at Mediatek India Technology Pvt.Ltd
Date of the Offer: November 2020
Company: Phonepe
Title/Level: SDE
Location: Bangalore (Karnataka)/India
Salary: 17.5lpa
Relocation: NA
Signing Bonus: 5 lacs
Stock bonus: 8 lacs for 4 years
Bonus: Based on performance
Total comp (Salary + Bonus + Stock): 30.5lpa.
Benefits: Basic Phone benefits
Other details: It was a thrilling interview experience.",phonepe,sde,0,17.5lpa,: 30.5lpa.,bangalore,phonepe,sde 1,bangalore,0.0,1750000.0,3050000.0
1231715,https://leetcode.com/discuss/compensation/1231715/Cure.fit-or-SDE-1-or-Bangalore,Cure.fit | SDE 1 | Bangalore,2021/05/26,"Education: B.Tech from Tier-1
Years of Experience: 0
Date of the Offer: May 2021
Company: cure.fit
Title/Level: Software Development Engineer (SDE-1)
Location: Bangalore
Salary: INR 19,50,000
Joining Bonus: INR 1,00,000
ESOPS: INR 7,00,000 (Equally distributed in 4 years)
Total comp (Salary + Bonus): INR 20,50,000 ( Not including stocks as company is currently privately held )
Other benefits: Standard cure.fit benefits",cure.fit,software development engineer,0,"inr 19,50,000",": inr 20,50,000 ( not including stocks as company is currently privately held )",bangalore,cure.fit,sde 1,bangalore,0.0,1950000.0,2050000.0
917622,https://leetcode.com/discuss/compensation/917622/Sprinklr-or-SE2-or-Gurgaon,Sprinklr | SE2 | Gurgaon,2020/10/31,"Education: BTech in Computer Science from Deemed University
Years of Experience: 0
Prior Experience: Interned at Microsoft , Sprinklr
Company: Sprinklr
Title/Level: Product Engineer
Location: Gurgaon, India
Base Salary: 22,00,000 INR
Bonus: Performance-based bonus ( 3,00,000 INR )
Total comp (Salary + Bonus): ~25,00,000 INR
Perks : PF, Gratuity, Free Food, Cab pickup and drop , Relocation Allowance , Equity",sprinklr,product engineer,0,"22,00,000 inr",": ~25,00,000 inr","gurgaon, india",sprinklr,product engineer 1,delhi,0.0,2200000.0,2500000.0
1205498,https://leetcode.com/discuss/compensation/1205498/HashedIn-or-SDE-1-or-Bangalore,HashedIn | SDE 1 | Bangalore,2021/05/13,"Education: Tier 2 Engineering College (MCA)
Years of Experience: 2 years
Prior Experience: 2 years Product based Company
Date of the Offer: May 2021
Company: HashedIn by Deloitte
Title: Software Engineer - I (Band 7)
Location: Bangalore
Salary: 9.5 LPA
Performance Bonus: 1.5 L
Total comp (Salary + Bonus + Stock): 11 LPA
Benefits: Free food 4 times a day and other HashedIn benefits
Other details: Previous Compensation was 7.3 LPA
Interview Exp: https://bit.ly/3tIVsjl
PS: Do upvote if you like it. :-)",hashedin by deloitte,software engineer - i,2 years,9.5 lpa,: 11 lpa,bangalore,deloitte,sde 1,bangalore,2.0,950000.0,1100000.0
607996,https://leetcode.com/discuss/compensation/607996/Ninjacart-or-SDE2-or-Bangalore,Ninjacart | SDE2 | Bangalore,2020/05/02,"Education: Bachelor's in I.T. from a tier-1 university in India (IITs/BITS/NITs)
Years of Experience: 4.5
Prior Experience: Tier 1 company
Date of the Offer: Feb 2020
Company: Ninjacart
Title/Level: SDE2
Location: Bangalore
Salary: INR 26,50,000
Signing Bonus: INR 2,00,000
Variable: NA
Stock bonus: NA
Total comp (Salary + Bonus + Stock): INR 28,50,000 first year
Benefits: Gratuity and Medical Insurance",ninjacart,sde2,4.5,"inr 26,50,000",": inr 28,50,000 first year",bangalore,ninjacart,sde 2,bangalore,4.5,2650000.0,2850000.0
578877,https://leetcode.com/discuss/compensation/578877/Oracle-or-Software-Developer-or-Bangalore,Oracle | Software Developer | Bangalore,2020/04/14,"Education: BS in Computer Science
Years of Experience: 0
Prior Experience: 0
Date of the Offer: June 2019
Company: Oracle
Title/Level: Software Developer
Location: Bangalore
Salary: 900000
Relocation: 187000
Signing Bonus: 0
Stock bonus: 0
Bonus: Not mentioned
Total comp (Salary + Bonus + Stock): ~9L
Benefits: Typical benefits at Oracle
Other details: Campus Interview",oracle,software developer,0,900000,: ~9l,bangalore,oracle,sde 1,bangalore,0.0,900000.0,900000.0
905583,https://leetcode.com/discuss/compensation/905583/HashedIn-or-Software-Engineer-or-Bangalore,HashedIn | Software Engineer | Bangalore,2020/10/22,"Education: B.Tech in Computer Science (from tier 2 college)
Years of Experience: 0
Company: Hashedin
Offer Type: Internship + Full time
Title/Level: Software developer
Location: Bangalore
Stipend During Internship: 21k per month
Base Salary: 6 LPA
Variable: 1 LPA
Joining bonus: 1 L
Total comp (Salary + Variable + Joining Bonus): 8 LPA
Other Benefits: Free food + other standard employee benefits",hashedin,software developer,0,6 lpa,: 8 lpa,bangalore,hashedin,sde 1,bangalore,0.0,600000.0,800000.0
350344,https://leetcode.com/discuss/compensation/350344/Uber-or-SE1-or-Hyderabad,Uber | SE1 | Hyderabad,2019/08/04,"Education: BE ECE from Tier 2 college
Years of Experience: 1
Prior Experience: Amazon
For fresh grad, any related Internship/coop experience? N/A
For experienced engineer, what's your current and past experience? 6 months internship at Amazon, FTE at Amazon since 1 year.
Date of the Offer: 15th July
Company: Uber
Title/Level: Software Engineer 1
Location: Hyderabad
Salary: 1900000 Per Annum
Relocation/Signing Bonus: 100000
Stock bonus: 800000
Bonus: performance based
Total comp (Salary + Bonus + Stock): 2700000
Benefits: Gym, Free Lunch/Snacks
Other details: N/A",uber,software engineer 1,1,1900000 per annum,: 2700000,hyderabad,uber,sde 1,hyderabad,1.0,1900000.0,2700000.0
507047,https://leetcode.com/discuss/compensation/507047/Uber-or-SDE-II-or-Hyderabad,Uber | SDE II | Hyderabad,2020/02/12,"Education: Recent MS grad
Years of Experience: 4 years
Prior Experience: Microsoft India
Date of offer: December, 2019
Company: Uber
Title/Level: SDE II
Location: Hyderabad, India
Base Salary: INR 32,00,000
Relocation: reimbursable
Stock Bonus: $76k over 4 years
Performance bonus: ~INR 4.5 Lacs
Total Compensation (Salary + Stock + Perf): around INR 50L first year
Will share interview experience in a separate post",uber,sde ii,4 years,"inr 32,00,000",: around inr 50l first year,"hyderabad, india",uber,sde 2,hyderabad,4.0,3200000.0,5000000.0
1233843,https://leetcode.com/discuss/compensation/1233843/Disney%2BHotstar-SDE-1,Disney+Hotstar SDE-1,2021/05/27,"Education: B.Tech from Tier-3
Years of Experience: 10 months
Date of the Offer: May 2021
Company: Disney+Hotstar
Title/Level: Software Development Engineer (SDE-1)
Location: Bangalore
Salary: INR 21,00,000 base
Joining Bonus: INR 1,00,000
Stocks:- 10,000 USD stocks of dinsey
Other benefits: medical insurance etc.",disney,software development engineer,10 months,"inr 21,00,000 base",,bangalore,disney,sde 1,bangalore,0.8333333333333334,2100000.0,-1.0
953510,https://leetcode.com/discuss/compensation/953510/Amazon-or-SDE-2-or-Hyderabad,Amazon | SDE 2 | Hyderabad,2020/11/29,"Education: BE from not so known college
Years of Experience: 4 yrs 4 months
Prior Experience: Currenty working for a startup, was working in a product based MNC prior to it.
Date of the Offer: Nov 2020
Company: Amazon
Title/Level: SDE 2
Location: Hyderabad
Salary: INR 28,50,000
Relocation: INR 1,50,000
Signing Bonus: INR 18,25,000 (1st year) + INR 14,60,000 (2nd Year)
Stock bonus: 21 RSU's vested over 4 years
Bonus: NA
Total comp (Salary + Bonus + Stock): 28.5 + 18.25 + 1 RSU which is close to INR 48 LPA for first year
Benefits: Standard Amazon benefits
Other details: Didn't negotiate since the numbers looked fair for my profile.",amazon,sde 2,4 yrs 4 months,"inr 28,50,000",: 28.5 + 18.25 + 1 rsu which is close to inr 48 lpa for first year,hyderabad,amazon,sde 2,hyderabad,4.333333333333333,2850000.0,4800000.0
